"        S00-T98 Verletzungen, Vergiftungen und bestimmte andere Folgen äußerer Ursachen";"41.554";"39.853";"38.383";"36.496";"34.667";"34.133";"32.931";"32.988";"33.312";"31.832";"31.511";"30.650";"32.212";"33.024";"33.309";"34.606";"34.296";"34.201";"34.523";"34.063";"34.578";

****************************************************************************************************
Fußnoten
****************************************************************************************************

1.;Im September 2019 wurden bei den altersstandardisierten Werten des Jahres 2017 Korrekturen vorgenommen, durch die sich Abweichungen zu früher angezeigten Werten ergeben können.
2.;Bis 1997 wurden die Sterbefälle nach der ICD-9 erhoben. Die Angaben sind daher in einer separaten gestaltbaren Tabelle aufgeführt (siehe Links auf andere Fundstellen).
3.;Verletzungen und Vergiftungen (ICD-10 Pos-Nr. S00-T98) sind die Folgen der Äußeren Ursachen (ICD-pos-no. V00-Y98) und dürfen nicht zu diesen hinzu addiert werden.

****************************************************************************************************
Die Tabelle wurde am 22.01.2021 17:17 Uhr unter www.gbe-bund.de erstellt.
****************************************************************************************************

Quelle(n):
Todesursachenstatistik, Statistisches Bundesamt, Zweigstelle Bonn
Fortschreibung des Bevölkerungsstandes, Statistisches Bundesamt
