GENESIS-Tabelle: 23131-0001
Krankenhauspatienten: Deutschland, Jahre,;;;;;;;;;;;
Hauptdiagnose ICD-10 (1-3-Steller Hierarchie);;;;;;;;;;;
Diagnosen der Krankenhauspatienten;;;;;;;;;;;
Deutschland;;;;;;;;;;;
Gestorbene Patienten (Anzahl);;;;;;;;;;;
;;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
ICD10-A53;    Sonstige und nicht näher bezeichnete Syphilis;-;-;-;-;-;-;-;-;-;-
ICD10-A54;    Gonokokkeninfektion;-;-;-;-;-;-;-;-;-;-
ICD10-A55;    Lymphogranuloma inguinale (venereum) d. Chlamydien;-;-;-;-;-;-;-;-;-;-
ICD10-A56;    Sonst. d. Geschlechtsverkehr übertr. Chlamydienkh.;-;-;-;-;1;-;-;-;-;-
ICD10-A57;    Ulcus molle (venereum);-;-;1;2;-;-;-;-;-;-
ICD10-A58;    Granuloma venereum (inguinale);-;-;-;-;-;-;-;-;-;-
ICD10-A59;    Trichomoniasis;-;-;-;-;-;-;-;-;-;-
ICD10-A60;    Infektionen d.Anogenitalbereichs durch Herpesviren;-;1;1;1;2;3;-;-;-;-
ICD10-A63;    Sonst. vorwiegend d.Geschlechtsverk.übertr.Krankh.;-;-;-;-;-;-;-;-;-;-
ICD10-A64;    Durch Geschlechtsverkehr übertragene Krankheiten;-;-;-;-;-;-;-;-;-;-
ICD10-A65-A69;  Sonstige Spirochätenkrankheiten;4;3;1;1;3;1;5;6;3;4
ICD10-A65;    Nichtvenerische Syphilis;-;-;-;-;-;-;-;-;-;-
ICD10-A66;    Frambösie;-;-;-;-;-;-;-;-;-;-
ICD10-A67;    Pinta (Carate);-;-;-;-;-;-;-;-;-;-
ICD10-A68;    Rückfallfieber;-;-;-;-;-;-;-;-;-;-
ICD10-A69;    Sonstige Spirochäteninfektionen;4;3;1;1;3;1;5;6;3;4
ICD10-A70-A74;  Sonstige Krankheiten durch Chlamydien;-;1;1;1;-;2;-;-;1;-
ICD10-A70;    Infektionen durch Chlamydia psittaci;-;-;-;-;-;2;-;-;-;-
ICD10-A71;    Trachom;-;-;-;-;-;-;-;-;-;-
ICD10-A74;    Sonstige Krankheiten durch Chlamydien;-;1;1;1;-;-;-;-;1;-
ICD10-A75-A79;  Rickettsiosen;2;-;1;-;-;-;-;1;-;1
ICD10-A75;    Fleckfieber;-;-;-;-;-;-;-;-;-;-
ICD10-A77;    Zeckenbissfieber (Rickettsiosen, d.Zecken übertr.);-;-;-;-;-;-;-;-;-;-
ICD10-A78;    Q-Fieber;2;-;1;-;-;-;-;1;-;1
ICD10-A79;    Sonstige Rickettsiosen;-;-;-;-;-;-;-;-;-;-
ICD10-A80-A89;  Virusinfektionen des Zentralnervensystems;94;96;100;102;121;92;98;133;112;144
ICD10-A80;    Akute Poliomyelitis (Spinale Kinderlähmung);1;-;-;-;-;-;-;-;-;-
ICD10-A81;    Atypische Virus-Infektionen d.Zentralnervensystems;56;74;74;71;84;66;66;100;80;107
ICD10-A82;    Tollwut (Rabies);-;-;-;-;-;-;-;-;-;-
ICD10-A83;    Virusenzephalitis, durch Moskitos übertragen;-;-;-;-;-;-;-;-;-;1
ICD10-A84;    Virusenzephalitis, durch Zecken übertragen;-;4;2;2;4;3;-;3;3;7
ICD10-A85;    Sonstige Virusenzephalitis, ao.nicht klass.;5;2;1;3;4;6;8;6;6;6
ICD10-A86;    Virusenzephalitis, nicht näher bezeichnet;20;12;17;14;20;13;18;17;17;13
ICD10-A87;    Virusmeningitis;11;4;6;12;9;4;6;7;6;10
ICD10-A88;    Sonstige Virusinfektionen des Zentralnervensystems;-;-;-;-;-;-;-;-;-;-
ICD10-A89;    Virusinfektion des Zentralnervensystems, n.n.bez.;1;-;-;-;-;-;-;-;-;-
ICD10-A90-A99;  Athropoden-Virus-Kh. u. virales hämorrhag.Fieber;-;1;-;2;-;1;-;1;1;1
ICD10-A90;    Dengue-Fieber (Klassische Dengue);-;-;-;1;-;-;-;-;-;-
ICD10-A91;    Hämorrhagisches Dengue-Fieber;-;-;-;-;-;-;-;-;-;-
ICD10-A92;    Sonstige durch Moskitos übertragene Viruskrankh.;-;-;-;-;-;-;-;-;-;-
ICD10-A93;    Sonst. durch Arthropoden übertragene Viruskrankh.;-;-;-;-;-;-;-;-;-;-
ICD10-A94;    Durch Arthropoden übertrag. Viruskrankh., n.n.bez.;-;-;-;-;-;-;-;-;-;-
ICD10-A95;    Gelbfieber;-;-;-;-;-;-;-;-;-;-
ICD10-A96;    Hämorrhagisches Fieber durch Arenaviren;-;-;-;-;-;-;-;-;-;-
ICD10-A97;    Dengue;-;-;-;-;-;-;-;-;-;-
ICD10-A98;    Sonst. hämorrhagische Viruskrankh.,ao.nicht klass.;-;1;-;1;-;1;-;1;1;1
ICD10-A99;    Nicht näher bez. hämorrhagische Viruskrankheit;-;-;-;-;-;-;-;-;-;-
ICD10-B00-B09;  Virusinfektionen,gekennz.d.Haut-/Schleimhautläsion;222;241;252;240;229;265;273;305;306;308
ICD10-B00;    Infektionen durch Herpesviren (Herpes simplex);57;71;73;71;48;81;78;94;80;95
ICD10-B01;    Varizellen (Windpocken);10;5;10;5;5;10;12;13;12;14
ICD10-B02;    Zoster (Herpes zoster);155;165;168;163;176;174;182;196;212;197
ICD10-B03;    Pocken;-;-;-;-;-;-;-;-;-;-
ICD10-B04;    Affenpocken;-;-;-;-;-;-;-;-;-;-
ICD10-B05;    Masern;-;-;1;-;-;-;1;1;1;-
ICD10-B06;    Röteln (Rubeola, Rubella);-;-;-;1;-;-;-;-;-;2
ICD10-B07;    Viruswarzen;-;-;-;-;-;-;-;-;-;-
ICD10-B08;    Sonst. Virusinfektionen Haut-/Schleimhautläsionen;-;-;-;-;-;-;-;1;1;-
ICD10-B09;    N.n.bez. Virusinfektion Haut-/Schleimhautläsionen;-;-;-;-;-;-;-;-;-;-
ICD10-B15-B19;  Virushepatitis;42;32;45;26;46;30;32;30;23;27
ICD10-B15;    Akute Virushepatitis A;3;3;3;-;7;1;2;1;3;3
ICD10-B16;    Akute Virushepatitis B;16;9;15;12;18;12;14;16;4;7
ICD10-B17;    Sonstige akute Virushepatitis;2;3;4;2;2;8;7;8;10;13
ICD10-B18;    Chronische Virushepatitis;21;17;23;12;19;9;9;5;6;4
ICD10-B19;    Nicht näher bezeichnete Virushepatitis;-;-;-;-;-;-;-;-;-;-
ICD10-B20-B24;  HIV-Krankheit;73;59;57;46;50;41;41;47;42;36
ICD10-B20;    Infektiöse u.parasitäre Krankh.infolge HIV-Krankh.;33;16;18;19;18;16;18;26;17;22
ICD10-B21;    Bösartige Neubildungen infolge HIV-Krankheit;11;9;6;3;4;6;4;3;4;2
ICD10-B22;    Sonst. näher bezeichn. Krankheiten infolge HIV-Kh.;10;14;13;9;15;7;8;8;9;5
ICD10-B23;    Sonstige Krankheitszustände infolge HIV-Krankheit;12;14;9;8;6;6;5;6;5;4
ICD10-B24;    Nicht näher bezeichnete HIV-Krankheit;7;6;11;7;7;6;6;4;7;3
ICD10-B25-B34;  Sonstige Viruskrankheiten;67;76;89;76;83;81;105;72;91;96
ICD10-B25;    Zytomegalie;52;62;77;62;72;71;88;60;71;60
ICD10-B26;    Mumps;-;-;-;-;-;-;-;-;-;-
ICD10-B27;    Infektiöse Mononukleose;4;4;3;4;4;5;8;5;12;10
ICD10-B30;    Viruskonjunktivitis;-;-;-;-;-;-;-;-;-;-
ICD10-B33;    Sonstige Viruskrankheiten, ao. nicht klassifiziert;2;1;1;5;-;3;2;1;-;1
ICD10-B34;    Viruskrankheit nicht näher bezeichn. Lokalisation;9;9;8;5;7;2;7;6;8;25
ICD10-B35-B49;  Mykosen;747;728;790;727;759;707;747;650;604;603
ICD10-B35;    Dermatophytose (Tinea);2;-;1;-;-;3;1;-;-;1
ICD10-B36;    Sonstige oberflächliche Mykosen;-;1;-;-;-;-;-;-;1;-
ICD10-B37;    Kandidose;562;585;621;573;573;545;562;486;456;404
ICD10-B38;    Kokzidioidomykose;-;-;-;-;-;-;-;-;-;-
ICD10-B39;    Histoplasmose;-;-;-;-;-;1;-;-;-;-
ICD10-B40;    Blastomykose;-;-;-;-;-;-;-;-;-;-
ICD10-B41;    Parakokzidioidomykose;-;-;-;-;-;-;-;-;-;-
ICD10-B42;    Sporotrichose;-;-;-;-;-;-;-;-;-;-
ICD10-B43;    Chromomykose und chromomykotischer Abszess;-;1;-;-;-;1;1;-;-;1
ICD10-B44;    Aspergillose;169;126;149;143;169;142;160;150;140;183
ICD10-B45;    Kryptokokkose;9;6;6;3;7;7;10;5;3;6
ICD10-B46;    Zygomykose;-;5;6;4;4;2;11;5;1;5
ICD10-B47;    Myzetom;-;-;-;-;-;-;-;-;1;-
ICD10-B48;    Sonstige Mykosen, anderenorts nicht klassifiziert;2;-;2;3;3;-;2;1;-;-
ICD10-B49;    Nicht näher bezeichnete Mykose;3;4;5;1;3;6;-;3;2;3
ICD10-B50-B64;  Protozoenkrankheiten;196;212;240;229;247;238;254;243;249;208
ICD10-B50;    Malaria tropica durch Plasmodium falciparum;3;4;6;2;2;6;3;4;6;7
ICD10-B51;    Malaria tertiana durch Plasmodium vivax;1;-;-;-;-;-;-;-;-;-
ICD10-B52;    Malaria quartana durch Plasmodium malariae;-;-;-;-;-;-;-;-;-;-
ICD10-B53;    Sonstige parasitologisch bestätigte Malaria;-;-;-;-;-;-;-;-;-;1
ICD10-B54;    Malaria, nicht näher bezeichnet;-;-;-;-;-;-;-;-;-;-
ICD10-B55;    Leishmaniose;-;1;-;-;1;-;-;1;2;1
ICD10-B56;    Afrikanische Trypanosomiasis;-;-;-;-;-;-;-;-;-;-
ICD10-B57;    Chagas-Krankheit;-;-;-;-;1;-;-;-;-;-
ICD10-B58;    Toxoplasmose;20;8;15;14;14;9;12;14;11;9
ICD10-B59;    Pneumozystose;172;199;219;213;229;223;239;224;230;190
ICD10-B60;    Sonst.Protozoenkrankh., ao. nicht klassifizert;-;-;-;-;-;-;-;-;-;-
ICD10-B64;    Nicht näher bezeichnete Protozoenkrankheit;-;-;-;-;-;-;-;-;-;-
ICD10-B65-B83;  Helminthosen;2;5;3;3;3;5;-;2;6;7
ICD10-B65;    Schistosomiasis (Bilharziose);-;-;-;-;-;-;-;-;-;-
ICD10-B66;    Befall durch sonstige Trematoden (Egel);-;-;-;-;-;-;-;-;-;-
ICD10-B67;    Echinokokkose;1;4;3;2;2;5;-;2;5;6
ICD10-B68;    Taeniasis;-;-;-;-;-;-;-;-;-;-
ICD10-B69;    Zystizerkose;-;-;-;-;-;-;-;-;-;-
ICD10-B70;    Diphyllobothriose und Sparganose;-;-;-;-;-;-;-;-;-;-
ICD10-B71;    Befall durch sonstige Zestoden;-;-;-;-;-;-;-;-;-;-
ICD10-B72;    Drakunkulose;-;-;-;-;-;-;-;-;-;-
ICD10-B73;    Onchozerkose;-;-;-;-;-;-;-;-;-;-
ICD10-B74;    Filariose;-;-;-;-;-;-;-;-;-;-
ICD10-B75;    Trichinellose;-;-;-;-;-;-;-;-;-;-
ICD10-B76;    Hakenwurm-Krankheit;-;-;-;-;-;-;-;-;-;-
ICD10-B77;    Askaridose;-;-;-;-;1;-;-;-;-;-
ICD10-B78;    Strongyloidiasis;-;-;-;-;-;-;-;-;1;1
ICD10-B79;    Trichuriasis;-;-;-;-;-;-;-;-;-;-
ICD10-B80;    Enterobiasis;-;1;-;1;-;-;-;-;-;-
ICD10-B81;    Sonstige Intestinale Helminthosen, ao.nicht klass.;-;-;-;-;-;-;-;-;-;-
ICD10-B82;    Nicht näher bezeichneter intestinaler Parasitismus;-;-;-;-;-;-;-;-;-;-
ICD10-B83;    Sonstige Helminthosen;1;-;-;-;-;-;-;-;-;-
ICD10-B85-B89;  Pedikulose/Akarinose/sonst.Parasitenbefall d. Haut;4;5;1;2;3;2;6;5;6;6
ICD10-B85;    Pedikulose/Phthiriasis (Läuse-/Filzläusebefall);1;-;-;-;-;-;-;-;-;-
ICD10-B86;    Skabies;2;3;1;2;2;2;5;4;4;5
ICD10-B87;    Myiasis;-;2;-;-;-;-;1;-;2;1
ICD10-B88;    Sonstiger Parasitenbefall der Haut;1;-;-;-;-;-;-;-;-;-
ICD10-B89;    Nicht näher bezeichnete parasitäre Krankheit;-;-;-;-;1;-;-;1;-;-
ICD10-B90-B94;  Folgezustände von infektiösen und parasitären Kh.;-;-;-;-;-;-;-;-;-;-
ICD10-B90;    Folgezustände der Tuberkulose;-;-;-;-;-;-;-;-;-;-
ICD10-B91;    Folgezustände der Poliomyelitis;-;-;-;-;-;-;-;-;-;-
ICD10-B92;    Folgezustände der Lepra;-;-;-;-;-;-;-;-;-;-
ICD10-B94;    Folgezustände n.n.bez. infektiöser.u.parasit. Kh.;-;-;-;-;-;-;-;-;-;-
ICD10-B95-B98;  Bakterien, Viren, sonst.Erreger, klass.in and.Kap.;-;-;-;-;-;-;-;-;-;-
ICD10-B95;    Streptokokken und Staphylokokken als Ursache v.Kh.;-;-;-;-;-;-;-;-;-;-
ICD10-B96;    Sonstige Bakterien als Ursache von Krankheiten;-;-;-;-;-;-;-;-;-;-
ICD10-B97;    Viren als Ursache von anderen Krankheiten;-;-;-;-;-;-;-;-;-;-
ICD10-B98;    Sonstige Erreger als Ursache von Krankheiten;-;-;-;-;-;-;-;-;-;-
ICD10-B99-B99;  Sonstige Infektionskrankheiten;793;959;941;1195;1301;1321;1538;1536;1651;1619
ICD10-B99;    Sonstige u. nicht näher bezeichnete Infektionskh.;793;959;941;1195;1301;1321;1538;1536;1651;1619
ICD10-C00-C97;Bösartige Neubildungen;82902;82916;82878;80426;79236;80210;79653;81302;82496;84073
ICD10-C00-C14;  Bösartige Neubildung, Lippe, Mundhöhle, Pharynx;1879;1941;2005;1953;1861;1904;1887;1906;1934;2101
ICD10-C00;    Bösartige Neubildung der Lippe;13;23;22;15;28;15;16;9;19;22
ICD10-C01;    Bösartige Neubildung des Zungengrundes;163;178;165;198;175;171;178;167;160;186
ICD10-C02;    Bösartige Neubildung der Zunge;125;153;147;164;140;146;170;178;170;214
ICD10-C03;    Bösartige Neubildung des Zahnfleisches;31;34;41;43;50;50;39;38;65;58
ICD10-C04;    Bösartige Neubildung des Mundbodens;308;336;318;295;264;299;254;273;277;272
ICD10-C05;    Bösartige Neubildung des Gaumens;50;28;41;42;49;42;44;39;27;51
ICD10-C06;    Bösartige Neubildung des Mundes;46;45;42;47;43;37;48;75;66;71
ICD10-C07;    Bösartige Neubildung der Parotis;65;74;85;61;65;87;84;78;89;95
ICD10-C08;    Bösartige Neubildung der Speicheldrüsen;22;23;19;16;21;22;23;17;28;28
ICD10-C09;    Bösartige Neubildung der Tonsille;116;143;128;124;102;137;137;114;136;124
ICD10-C10;    Bösartige Neubildung des Oropharynx;399;388;423;375;425;430;430;443;430;465
ICD10-C11;    Bösartige Neubildung des Nasopharynx;81;54;69;70;69;76;56;50;76;62
ICD10-C12;    Bösartige Neubildung des Recessus piriformis;13;9;15;16;10;13;12;17;18;19
ICD10-C13;    Bösartige Neubildung des Hypopharynx;405;412;442;452;386;347;360;374;348;402
ICD10-C14;    Bösartige Neubildung, Lippe, Mundhöhle, Pharynx;42;41;48;35;34;32;36;34;25;32
ICD10-C15-C26;  Bösartige Neubildungen der Verdauungsorgane;25379;25177;24969;24154;23679;23839;24054;24448;24869;25397
ICD10-C15;    Bösartige Neubildung des Ösophagus;1881;1946;1996;1976;2011;1915;2030;2057;2010;2116
ICD10-C16;    Bösartige Neubildung des Magens;3963;3924;3782;3612;3471;3387;3446;3420;3453;3568
ICD10-C17;    Bösartige Neubildung des Dünndarmes;259;269;319;290;269;295;326;338;353;399
ICD10-C18;    Bösartige Neubildung des Kolons;5672;5577;5504;5239;5185;5222;5240;5198;5171;5306
ICD10-C19;    Bösartige Neubildung am Rektosigmoid, Übergang;456;360;358;329;307;303;301;314;318;346
ICD10-C20;    Bösartige Neubildung des Rektums;2760;2739;2666;2533;2422;2424;2427;2369;2399;2507
ICD10-C21;    Bösartige Neubildung des Anus und des Analkanals;176;180;168;165;155;176;181;183;205;202
ICD10-C22;    BN der Leber und der intrahepatischen Gallengänge;2941;2902;2836;2850;2725;2895;2872;3032;3053;3026
ICD10-C23;    Bösartige Neubildung der Gallenblase;583;560;579;503;453;490;464;494;472;453
ICD10-C24;    BN sonstiger und n.n.bez. Teile der Gallenwege;747;722;928;874;846;810;833;864;1028;913
ICD10-C25;    Bösartige Neubildung des Pankreas;5891;5932;5772;5724;5774;5871;5877;6122;6345;6500
ICD10-C26;    BN sonstiger u. ungenau bez. Verdauungsorgane;50;66;61;59;61;51;57;57;62;61
ICD10-C30-C39;  BN d. Atmungsorgane u. so. intrathorakaler Organe;17848;18005;17881;17645;17435;17467;17181;17560;17923;18275
ICD10-C30;    BN der Nasenhöhle und des Mittelohres;28;17;22;33;18;21;29;28;25;32
ICD10-C31;    Bösartige Neubildung der Nasennebenhöhlen;61;56;71;62;86;45;54;73;64;80
ICD10-C32;    Bösartige Neubildung des Larynx;380;381;366;336;338;370;355;390;372;375
ICD10-C33;    Bösartige Neubildung der Trachea;26;28;16;17;16;24;17;11;14;18
ICD10-C34;    Bösartige Neubildung der Bronchien und der Lunge;17129;17327;17196;17006;16781;16822;16545;16871;17245;17548
ICD10-C37;    Bösartige Neubildung des Thymus;43;38;46;41;42;49;42;40;35;54
ICD10-C38;    BN des Herzens, der Mediastinums und der Pleura;176;151;158;145;148;132;133;143;161;163
ICD10-C39;    BN sonst. u. ungenau bez. Lokal. d. Atmungssystems;5;7;6;5;6;4;6;4;7;5
ICD10-C40-C41;  BN des Knochens und des Gelenkknorpels;151;170;151;165;164;158;174;165;170;201
ICD10-C40;    BN d. Knochens u.d. Gelenkknorpels d. Extremitäten;50;62;41;39;48;54;46;59;52;72
ICD10-C41;    BN d.Knochens u.d.Gelenkknorpels n.n.bez. Lokalis.;101;108;110;126;116;104;128;106;118;129
ICD10-C43-C44;  Melanom und sonstige BN der Haut;957;961;978;948;1028;1069;1055;958;1138;1156
ICD10-C43;    Bösartiges Melanom der Haut;722;702;704;679;704;744;732;650;770;786
ICD10-C44;    Sonstige bösartige Neubildungen der Haut;235;259;274;269;324;325;323;308;368;370
ICD10-C45-C49;  BN d. mesothelialen Gewebes u.d. Weichteilgewebes;1398;1366;1435;1305;1303;1374;1302;1380;1367;1381
ICD10-C45;    Mesotheliom;647;648;640;588;580;604;593;565;574;524
ICD10-C46;    Kaposi-Sarkom;10;7;8;3;9;2;6;7;5;4
ICD10-C47;    BN d. peripheren Nerven u.d. autonom Nervensystems;30;37;32;31;38;28;33;32;23;28
ICD10-C48;    BN des Retroperitoneums und des Peritoneums;158;151;180;177;169;184;174;184;184;197
ICD10-C49;    BN sonstigen Bindegewebes u.and. Weichteilgewebe;553;523;575;506;507;556;496;592;581;628
ICD10-C50-C50;  Bösartige Neubildungen der Brustdrüse (Mamma);4533;4464;4551;4340;4270;4285;4404;4686;4973;5118
ICD10-C50;    Bösartige Neubildung der Brustdrüse (Mamma);4533;4464;4551;4340;4270;4285;4404;4686;4973;5118
ICD10-C51-C58;  BN der weiblichen Genitalorgane;3744;3652;3555;3603;3424;3379;3498;3518;3626;3853
ICD10-C51;    Bösartige Neubildung der Vulva;230;214;215;232;220;260;245;233;261;283
ICD10-C52;    Bösartige Neubildung der Vagina;48;45;44;63;42;56;56;48;64;53
ICD10-C53;    Bösartige Neubildung der Cervix uteri;564;580;559;544;518;502;551;504;541;625
ICD10-C54;    Bösartige Neubildung des Corpus uteri;695;704;653;673;720;748;709;758;772;822
ICD10-C55;    Bösartige Neubildung des Uterus, Teil n.n.bez.;63;80;57;71;71;47;68;78;89;89
ICD10-C56;    Bösartige Neubildung des Ovars;2048;1931;1933;1899;1757;1645;1753;1771;1760;1718
ICD10-C57;    Bösartige Neubildung sonstiger weibl.Genitalorgane;96;97;89;119;96;120;112;126;138;261
ICD10-C58;    Bösartige Neubildung der Plazenta;-;1;5;2;-;1;4;-;1;2
ICD10-C60-C63;  BN der männlichen Genitalorgane;2795;2840;2929;2836;2633;2889;2824;2978;3228;3461
ICD10-C60;    Bösartige Neubildung des Penis;50;52;51;56;59;47;54;63;82;58
ICD10-C61;    Bösartige Neubildung der Prostata;2643;2688;2787;2663;2490;2755;2681;2839;3082;3335
ICD10-C62;    Bösartige Neubildung des Hodens;74;68;67;93;60;63;69;55;53;65
ICD10-C63;    Bösartige Neubildung sonst. männl. Genitalorgane;28;32;24;24;24;24;20;21;11;3
ICD10-C64-C68;  Bösartige Neubildungen der Harnorgane;3953;4109;4068;3972;4068;4115;4128;4343;4494;4574
ICD10-C64;    BN der Niere, ausgenommen Nierenbecken;1373;1397;1361;1334;1443;1327;1279;1372;1322;1340
ICD10-C65;    Bösartige Neubildung des Nierenbeckens;225;243;267;280;235;265;247;259;233;243
ICD10-C66;    Bösartige Neubildung des Ureters;95;92;83;94;82;104;90;114;121;121
ICD10-C67;    Bösartige Neubildung der Harnblase;2142;2270;2257;2149;2168;2253;2247;2297;2420;2434
ICD10-C68;    BN sonstiger und n.n.bez. Harnorgane;118;107;100;115;140;166;265;301;398;436
ICD10-C69-C72;  BN des Auges/Gehirns/Zentralnervensystems;1451;1356;1399;1332;1265;1352;1361;1302;1516;1397
ICD10-C69;    BN des Auges und der Augenanhangsgebilde;111;80;92;99;97;85;109;98;120;108
ICD10-C70;    Bösartige Neubildung der Meningen;10;13;17;13;14;19;21;12;21;27
ICD10-C71;    Bösartige Neubildung des Gehirns;1307;1241;1268;1201;1127;1221;1209;1179;1356;1248
ICD10-C72;    BN d.Rückenmarks,d.Hirnnerven,d.Zentralnervensyst.;23;22;22;19;27;27;22;13;19;14
ICD10-C73-C75;  BN der Schilddrüse und sonstiger endokriner Drüsen;402;382;406;377;376;363;352;302;305;318
ICD10-C73;    Bösartige Neubildung der Schilddrüse;255;238;261;237;240;220;215;199;224;232
ICD10-C74;    Bösartige Neubildung der Nebenniere;62;57;60;56;40;58;63;55;53;61
ICD10-C75;    BN sonst. endokr. Drüsen u. verwandt. Strukturen;85;87;85;84;96;85;74;48;28;25
ICD10-C76-C80;  BN ungenau bez., sekundärer u.n.n. bez. Lokalisat.;10544;10418;10301;9924;9589;9798;9420;9359;8339;8067
ICD10-C76;    BN sonst. u. ungenau bezeichneter Lokalisationen;103;126;110;111;119;103;97;126;124;109
ICD10-C77;    Sekundäre u.n.n. bezeichnete BN der Lymphknoten;297;254;235;222;212;217;181;167;142;133
ICD10-C78;    Sekundäre BN der Atmungs- und Verdauungsorgane;4107;4074;3863;3590;3314;3323;3043;2895;2272;2217
ICD10-C79;    Sekundäre BN an sonstigen Lokalisationen;3749;3812;3727;3653;3538;3658;3527;3454;2965;2701
